oem_number,name,brand,category,price_usd,price_kgs,stock_qty,condition,compatible_cars,description,image_url
04152-YZZA6,Масляный фильтр Toyota,Toyota,Фильтры,8.50,730,25,new,"Toyota Camry 2015-2023|Toyota Corolla 2014-2023|Toyota RAV4 2013-2022",Оригинальный масляный фильтр Toyota. Совместим с двигателями 2GR-FE / 2AR-FE.,
1K0-615-301-B,Тормозной диск передний VW,Volkswagen,Тормозная система,45.00,3870,10,new,"VW Golf V 2004-2009|VW Jetta III 2005-2011|Skoda Octavia A5 2004-2013",Вентилируемый тормозной диск OEM. Диаметр 288 мм.,
1J0-698-151-G,Тормозные колодки передние VW,Volkswagen,Тормозная система,32.00,2750,15,new,"VW Golf IV 2002-2006|VW Bora 2002-2005|Audi A3 8L 2001-2003",Комплект передних тормозных колодок. 4 шт.,
26300-35504,Масляный фильтр Hyundai/Kia,Hyundai,Фильтры,7.00,600,30,new,"Hyundai Sonata 2011-2019|Hyundai Tucson 2010-2020|Kia Optima 2011-2016|Kia Sportage 2010-2021",Оригинальный масляный фильтр для двигателей G4KD / G4NA.,
6765-41-7220,Ремень ГРМ Komatsu,Komatsu,Двигатель,125.00,10750,5,used,"Komatsu PC200-6|Komatsu PC200-7",Зубчатый ремень для распредвала. Ресурс до 100 000 км.,
A000-184-6102,Фильтр салонный Mercedes,Mercedes-Benz,Фильтры,18.00,1550,20,new,"Mercedes C-Class W205 2014-2021|Mercedes E-Class W213 2016-2022|Mercedes GLC X253 2015-2022",Угольный фильтр салона с активированным углем. Защита от пыли и запахов.,
7L0-698-151-B,Тормозные колодки передние Porsche Cayenne,Porsche,Тормозная система,95.00,8170,6,new,"Porsche Cayenne 2003-2010|VW Touareg 7L 2003-2010|Audi Q7 4L 2006-2015",Керамические передние колодки. Высокая термостойкость.,
1606226980,Катушка зажигания Peugeot/Citroen,Peugeot,Двигатель,28.00,2400,12,new,"Peugeot 308 2007-2014|Peugeot 207 2007-2012|Citroen C3 2009-2016|Citroen C4 2005-2011",Катушка зажигания для двигателей EP6 1.6 THP.,
N910-16-890,Свечи зажигания Mazda (к-т 4 шт.),Mazda,Двигатель,24.00,2060,18,new,"Mazda 3 2013-2019|Mazda 6 2012-2018|Mazda CX-5 2012-2019",Иридиевые свечи зажигания. Продлённый ресурс до 100 000 км.,
31256483,Воздушный фильтр Volvo,Volvo,Фильтры,22.00,1890,14,new,"Volvo XC60 2009-2017|Volvo V60 2010-2018|Volvo S60 2010-2018",Оригинальный воздушный фильтр для двигателей B4164T / B4204T.,
1232A066,Натяжитель цепи ГРМ Mitsubishi,Mitsubishi,Двигатель,55.00,4730,8,new,"Mitsubishi Outlander III 2012-2021|Mitsubishi ASX 2010-2019",Гидравлический натяжитель цепи ГРМ. Оригинал.,
B45G-34-300,Амортизатор передний Mazda,Mazda,Подвеска,85.00,7300,7,used,"Mazda 3 BL 2009-2013|Mazda 3 BM 2013-2019",Передний амортизатор. Состояние б/у хорошее. Пробег 45 000 км.,
90915-YZZD4,Масляный фильтр Lexus/Toyota,Toyota,Фильтры,9.50,820,22,new,"Lexus RX 2010-2015|Lexus ES 2012-2018|Toyota Camry XV50 2011-2017",Оригинальный масляный фильтр для двигателей 2GR-FE / 2AR-FXE.,
31521302,Стойка стабилизатора Volvo,Volvo,Подвеска,38.00,3270,11,new,"Volvo XC90 2002-2015|Volvo XC60 2009-2017|Volvo S80 2006-2016",Стойка переднего стабилизатора. Оригинал Volvo.,
8E0-498-099-C,ШРУС (граната) Audi A4,Audi,Подвеска,75.00,6450,9,used,"Audi A4 B6 2000-2006|Audi A4 B7 2004-2008|Audi A6 C5 1997-2005",Наружный ШРУС с пыльником. Б/у отличное состояние.,
KE900-00441,Тормозная жидкость Kia DOT4 1L,Kia,Тормозная система,12.00,1030,40,new,"Kia Rio III 2011-2017|Kia Ceed II 2012-2018|Kia Sportage III 2010-2016",Тормозная жидкость DOT4. Температура кипения сухой 265 °C.,
CW5Z-6600-A,Ремень генератора Ford,Ford,Двигатель,18.00,1550,16,new,"Ford Focus III 2011-2018|Ford Mondeo IV 2007-2015|Ford Escape 2013-2019",Поликлиновый ремень генератора. 6 ручьёв. Длина 2050 мм.,
28113-2S000,Воздушный фильтр Hyundai ix35,Hyundai,Фильтры,14.00,1200,25,new,"Hyundai ix35 2010-2015|Hyundai Tucson LM 2010-2015|Kia Sportage III 2010-2016",Воздушный фильтр для двигателей G4KD / D4HA.,
036-903-137-AA,Ремень генератора VW/Skoda,Volkswagen,Двигатель,16.00,1380,20,new,"VW Golf VI 2009-2013|VW Passat B7 2011-2015|Skoda Octavia A7 2013-2020",Поликлиновый ремень. 6 ручьёв. Для двигателей 1.4 TSI / 1.6 MPI.,
5Q0-412-331-B,Отбойник амортизатора VW,Volkswagen,Подвеска,22.00,1890,18,new,"VW Golf VII 2012-2020|VW Polo V 2009-2017|Skoda Octavia A7 2013-2020",Резиновый отбойник переднего амортизатора с пыльником.,
